time,c_rate
0,-6.356164384
1,-6.356164384
2,-6.356164384
3,-6.356164384
4,-6.356164384
5,-6.356164384
6,-6.356164384
7,-6.356164384
8,-6.356164384
9,-6.356164384
10,-6.356164384
11,-6.356164384
12,-6.356164384
13,-6.356164384
14,-6.356164384
15,-6.356164384
16,-6.356164384
17,-6.356164384
18,-6.356164384
19,-6.356164384
20,-6.356164384
21,-6.356164384
22,-6.356164384
23,-6.356164384
24,-6.356164384
25,-6.356164384
26,-6.356164384
27,-6.356164384
28,-6.356164384
29,-6.356164384
30,-6.356164384
31,-6.356164384
32,-6.356164384
33,-6.356164384
34,-6.356164384
35,-6.356164384
36,-6.356164384
37,-6.356164384
38,-6.356164384
39,-6.356164384
40,-6.356164384
41,-6.356164384
42,-6.356164384
43,-6.356164384
44,-6.356164384
45,-6.356164384
46,-6.356164384
47,-6.356164384
48,-6.356164384
49,-6.356164384
50,-6.356164384
51,-6.356164384
52,-6.356164384
53,-6.356164384
54,-6.356164384
55,-6.356164384
56,-6.356164384
57,-6.356164384
58,-6.356164384
59,-6.356164384
60,-6.356164384
61,-6.356164384
62,-6.356164384
63,-6.356164384
64,-6.356164384
65,-6.356164384
66,-6.356164384
67,-6.356164384
68,-6.356164384
69,-6.356164384
70,-6.356164384
71,-6.356164384
72,-6.356164384
73,-6.356164384
74,-6.356164384
75,-6.356164384
76,-6.356164384
77,-6.356164384
78,-6.356164384
79,-6.356164384
80,-6.356164384
81,-2.374429224
82,-2.374429224
83,-2.374429224
84,-2.374429224
85,-2.374429224
86,-2.374429224
87,-2.374429224
88,-2.374429224
89,-2.374429224
90,-2.374429224
91,-2.374429224
92,-2.374429224
93,-2.374429224
94,-2.374429224
95,-2.374429224
96,-2.374429224
97,-2.374429224
98,-2.374429224
99,-2.374429224
100,-2.374429224
101,-2.374429224
102,-2.374429224
103,-2.374429224
104,-2.374429224
105,-2.374429224
106,-2.374429224
107,-2.374429224
108,-2.374429224
109,-2.374429224
110,-2.374429224
111,-2.374429224
112,-2.374429224
113,-2.374429224
114,-2.374429224
115,-2.374429224
116,-2.374429224
